,ticker,name,calendardate,sector,industry,revenue,fcfmargin,eps,oppmargin,profitmargin,netmargin,pe,roc,roe
111813,UGI,UGI CORP,2020-12-31,Utilities,Utilities - Regulated Gas,1932000000.0,-0.018633540372670808,1.45,0.2598343685300207,0.15683229813664595,0.5688405797101449,11.696,0.02720660860195744,0.068289384719405
111808,UGI,UGI CORP,2021-06-30,Utilities,Utilities - Regulated Gas,1496000000.0,0.16377005347593582,0.72,0.26136363636363635,0.10026737967914438,0.6550802139037433,10.163,0.013313215585337712,0.02942907592701589
111797,UGI,UGI CORP,2018-06-30,Utilities,Utilities - Regulated Gas,1440900000.0,0.15219654382677494,0.3,0.020473315289055452,0.0363661600388646,0.49163717121243666,12.89,0.006382693642885855,0.014119041845175545
111809,UGI,UGI CORP,2021-09-30,Utilities,Utilities - Regulated Gas,1438000000.0,0.14186369958275383,2.51,0.5465924895688457,0.3650904033379694,1.006258692628651,6.075,0.042216146670955294,0.09507424846070264
111801,UGI,UGI CORP,2019-06-30,Utilities,Utilities - Regulated Gas,1363700000.0,0.10075529808608931,-0.01,0.007039671481997507,-0.00139326831414534,0.42700007332991124,27.988,-0.00022086345988422105,-0.0004972650422675286
111798,UGI,UGI CORP,2018-09-30,Utilities,Utilities - Regulated Gas,1272900000.0,-0.016969125618666037,0.13,0.038887579542776336,0.019404509388011627,0.49336161520936445,13.416,0.002977302587963019,0.006709404031075134
111805,UGI,UGI CORP,2020-06-30,Utilities,Utilities - Regulated Gas,1199000000.0,0.2268557130942452,0.41,0.1451209341117598,0.07089241034195162,0.6522101751459549,14.052,0.007935766968537018,0.020601066408143482
111793,UGI,UGI CORP,2017-06-30,Utilities,Utilities - Regulated Gas,1153500000.0,0.11348071087993064,-0.11,-0.0024273948851322065,-0.0164716081491114,0.46380580840918945,21.611,-0.002529960053262317,-0.005981049516794157
111802,UGI,UGI CORP,2019-09-30,Utilities,Utilities - Regulated Gas,1150000000.0,-0.036,-0.32,-0.08617391304347827,-0.04495652173913044,0.4002608695652174,34.234,-0.004900473933649289,-0.013544668587896254
111806,UGI,UGI CORP,2020-09-30,Utilities,Utilities - Regulated Gas,1124000000.0,-0.0400355871886121,0.05,0.06138790035587188,0.00800711743772242,0.5765124555160143,12.914,0.0008465011286681715,0.002180232558139535
111794,UGI,UGI CORP,2017-09-30,Utilities,Utilities - Regulated Gas,1113900000.0,-0.04363048747643415,0.02,0.029984738306849806,0.004488733279468534,0.5509471227219679,18.608,0.0006452362209805009,0.0015806278253722378
100918,SO,SOUTHERN CO,2022-09-30,Utilities,Utilities - Regulated Electric,8378000000.0,-0.10157555502506564,1.36,0.25936977798997374,0.176056338028169,0.36106469324421103,21.285,0.01601068102381521,0.04157740444243996
100917,SO,SOUTHERN CO,2022-06-30,Utilities,Utilities - Regulated Electric,7206000000.0,0.023591451568137665,1.04,0.2282819872328615,0.15417707466000555,0.36219816819317235,25.047,0.012416876222408495,0.033653409263017596
100916,SO,SOUTHERN CO,2022-03-31,Utilities,Utilities - Regulated Electric,6648000000.0,0.029482551143200964,0.97,0.20472322503008425,0.15583634175691938,0.338898916967509,33.571,0.011699472620297907,0.031750896441815564
100900,SO,SOUTHERN CO,2018-03-31,Utilities,Utilities - Regulated Electric,6372000000.0,-0.060263653483992465,0.93,0.21594475831763968,0.147834274952919,0.34353421217827995,40.164,0.012293156548520123,0.03817474469119792
100914,SO,SOUTHERN CO,2021-09-30,Utilities,Utilities - Regulated Electric,6238000000.0,0.05434434113497916,1.04,0.25617184995190767,0.17714010900929786,0.44212888746393075,21.908,0.012585994806141509,0.03326409584876125
100898,SO,SOUTHERN CO,2017-09-30,Utilities,Utilities - Regulated Electric,6201000000.0,0.1456216739235607,1.07,0.3210772456055475,0.1740041928721174,0.45024995968392195,90.45,0.014540211297973265,0.044805248733493896
100902,SO,SOUTHERN CO,2018-09-30,Utilities,Utilities - Regulated Electric,6159000000.0,0.06543270011365482,1.14,0.29566488066244523,0.18964117551550577,0.42945283325215133,18.099,0.01624953046091348,0.046950998914660126
100906,SO,SOUTHERN CO,2019-09-30,Utilities,Utilities - Regulated Electric,5995000000.0,0.06839032527105922,1.26,0.3347789824854045,0.22018348623853212,0.4798999165971643,14.106,0.01658833287254631,0.04152118524110597
100912,SO,SOUTHERN CO,2021-03-31,Utilities,Utilities - Regulated Electric,5910000000.0,-0.09340101522842639,1.07,0.2629441624365482,0.19272419627749576,0.41844331641285953,19.403,0.013195393776500846,0.03444417563807911
100896,SO,SOUTHERN CO,2017-03-31,Utilities,Utilities - Regulated Electric,5771000000.0,-0.13203950788424884,0.66,0.2356610639403916,0.11592444983538382,0.35972968289724483,18.852,0.009044573931618154,0.026659759305013152
100915,SO,SOUTHERN CO,2021-12-31,Utilities,Utilities - Regulated Electric,5767000000.0,-0.18276400208080457,-0.2,-0.05860932894052367,-0.03658748049245708,0.25853996878793134,30.372,-0.0024046680190549998,-0.006537365224934936
100899,SO,SOUTHERN CO,2017-12-31,Utilities,Utilities - Regulated Electric,5628000000.0,-0.15973702914001423,0.49,0.12757640369580667,0.08901918976545842,0.30188343994314143,57.321,0.006564379397544582,0.01962550924475086
100901,SO,SOUTHERN CO,2018-06-30,Utilities,Utilities - Regulated Electric,5627000000.0,-0.02434689888039808,-0.15,0.017593744446419052,-0.02665718855518038,0.345121734494402,19.952,-0.0020453522778406535,-0.006346251480792012
100910,SO,SOUTHERN CO,2020-09-30,Utilities,Utilities - Regulated Electric,5620000000.0,0.05569395017793594,1.18,0.3265124555160142,0.22330960854092527,0.48469750889679714,18.053,0.01486350447089477,0.038615384615384614
100897,SO,SOUTHERN CO,2017-06-30,Utilities,Utilities - Regulated Electric,5430000000.0,-0.0022099447513812156,-1.38,-0.303683241252302,-0.2523020257826888,0.3898710865561694,77.686,-0.018623745955792394,-0.05861714872497005
100904,SO,SOUTHERN CO,2019-03-31,Utilities,Utilities - Regulated Electric,5412000000.0,-0.19955654101995565,2.01,0.22062084257206208,0.3858093126385809,0.35938654841093864,15.856,0.027238572323105822,0.06804184182227002
100903,SO,SOUTHERN CO,2018-12-31,Utilities,Utilities - Regulated Electric,5337000000.0,-0.16638560989319842,0.26,0.11317219411654487,0.05283867341202923,0.25576166385609894,20.3,0.0037160025300442758,0.009711078205172355
